Time,Dominant Emotion,All Emotions
18:18:43,neutral,"{'angry': np.float32(0.4040959), 'disgust': np.float32(7.115536e-08), 'fear': np.float32(0.43473676), 'happy': np.float32(0.00017943773), 'sad': np.float32(2.2287776), 'surprise': np.float32(0.00078990345), 'neutral': np.float32(96.93142)}"
18:18:43,neutral,"{'angry': np.float32(0.5356421), 'disgust': np.float32(6.0393994e-08), 'fear': np.float32(0.17138118), 'happy': np.float32(9.56197e-05), 'sad': np.float32(1.6409845), 'surprise': np.float32(0.00043593723), 'neutral': np.float32(97.65147)}"
18:18:43,neutral,"{'angry': np.float32(0.5356421), 'disgust': np.float32(6.0393994e-08), 'fear': np.float32(0.17138118), 'happy': np.float32(9.56197e-05), 'sad': np.float32(1.6409845), 'surprise': np.float32(0.00043593723), 'neutral': np.float32(97.65147)}"
18:18:43,neutral,"{'angry': np.float32(3.1092615), 'disgust': np.float32(8.628079e-06), 'fear': np.float32(1.7068783), 'happy': np.float32(0.002494074), 'sad': np.float32(10.856766), 'surprise': np.float32(0.0013438375), 'neutral': np.float32(84.32324)}"
18:18:43,neutral,"{'angry': np.float32(0.03986768), 'disgust': np.float32(1.0470839e-09), 'fear': np.float32(0.028241262), 'happy': np.float32(7.0108064e-05), 'sad': np.float32(0.5117982), 'surprise': np.float32(0.00028682392), 'neutral': np.float32(99.41974)}"
18:18:43,neutral,"{'angry': np.float32(0.03986768), 'disgust': np.float32(1.0470839e-09), 'fear': np.float32(0.028241262), 'happy': np.float32(7.0108064e-05), 'sad': np.float32(0.5117982), 'surprise': np.float32(0.00028682392), 'neutral': np.float32(99.41974)}"
18:18:43,neutral,"{'angry': np.float32(0.1269049), 'disgust': np.float32(3.7140163e-10), 'fear': np.float32(0.03874901), 'happy': np.float32(1.227918e-05), 'sad': np.float32(0.8040779), 'surprise': np.float32(4.083512e-05), 'neutral': np.float32(99.03021)}"
18:18:43,neutral,"{'angry': np.float32(0.1269049), 'disgust': np.float32(3.7140163e-10), 'fear': np.float32(0.03874901), 'happy': np.float32(1.227918e-05), 'sad': np.float32(0.8040779), 'surprise': np.float32(4.083512e-05), 'neutral': np.float32(99.03021)}"
18:18:43,neutral,"{'angry': np.float32(0.04812569), 'disgust': np.float32(4.5112927e-10), 'fear': np.float32(0.006053251), 'happy': np.float32(6.070469e-06), 'sad': np.float32(0.29021308), 'surprise': np.float32(6.4257525e-05), 'neutral': np.float32(99.65554)}"
18:18:43,neutral,"{'angry': np.float32(0.19022018), 'disgust': np.float32(1.08925995e-07), 'fear': np.float32(0.115494855), 'happy': np.float32(4.3557233e-05), 'sad': np.float32(0.7442178), 'surprise': np.float32(0.004661033), 'neutral': np.float32(98.945366)}"
18:18:43,neutral,"{'angry': np.float32(0.07805726), 'disgust': np.float32(4.4444453e-09), 'fear': np.float32(0.018278657), 'happy': np.float32(1.8835844e-05), 'sad': np.float32(0.5478359), 'surprise': np.float32(0.00036293457), 'neutral': np.float32(99.355446)}"
18:18:43,neutral,"{'angry': np.float32(0.07805726), 'disgust': np.float32(4.4444453e-09), 'fear': np.float32(0.018278657), 'happy': np.float32(1.8835844e-05), 'sad': np.float32(0.5478359), 'surprise': np.float32(0.00036293457), 'neutral': np.float32(99.355446)}"
18:18:43,neutral,"{'angry': np.float32(0.10395995), 'disgust': np.float32(4.2397295e-09), 'fear': np.float32(0.023113519), 'happy': np.float32(2.1658345e-05), 'sad': np.float32(0.81330645), 'surprise': np.float32(0.0001242073), 'neutral': np.float32(99.05947)}"
18:18:43,neutral,"{'angry': np.float32(5.233442), 'disgust': np.float32(6.833415e-05), 'fear': np.float32(3.1388495), 'happy': np.float32(0.001429413), 'sad': np.float32(30.240509), 'surprise': np.float32(0.00041476515), 'neutral': np.float32(61.385284)}"
18:18:44,neutral,"{'angry': np.float32(5.233442), 'disgust': np.float32(6.833415e-05), 'fear': np.float32(3.1388495), 'happy': np.float32(0.001429413), 'sad': np.float32(30.240509), 'surprise': np.float32(0.00041476515), 'neutral': np.float32(61.385284)}"
18:18:44,sad,"{'angry': np.float32(24.01316), 'disgust': np.float32(0.012386955), 'fear': np.float32(17.573507), 'happy': np.float32(0.015830988), 'sad': np.float32(44.4841), 'surprise': np.float32(0.016545944), 'neutral': np.float32(13.88447)}"
18:18:44,neutral,"{'angry': np.float32(12.094094), 'disgust': np.float32(0.00082161697), 'fear': np.float32(1.7060105), 'happy': np.float32(0.0053482116), 'sad': np.float32(13.460886), 'surprise': np.float32(0.0033269774), 'neutral': np.float32(72.72951)}"
18:18:44,neutral,"{'angry': np.float32(12.094094), 'disgust': np.float32(0.00082161697), 'fear': np.float32(1.7060105), 'happy': np.float32(0.0053482116), 'sad': np.float32(13.460886), 'surprise': np.float32(0.0033269774), 'neutral': np.float32(72.72951)}"
18:18:44,fear,"{'angry': np.float32(22.847929), 'disgust': np.float32(0.012938137), 'fear': np.float32(32.135746), 'happy': np.float32(0.027319975), 'sad': np.float32(22.91845), 'surprise': np.float32(0.018937048), 'neutral': np.float32(22.038683)}"
18:18:44,sad,"{'angry': np.float32(10.554268), 'disgust': np.float32(0.001998884), 'fear': np.float32(10.38862), 'happy': np.float32(0.006064305), 'sad': np.float32(40.583958), 'surprise': np.float32(0.0009290331), 'neutral': np.float32(38.46417)}"
18:18:44,sad,"{'angry': np.float32(10.554268), 'disgust': np.float32(0.001998884), 'fear': np.float32(10.38862), 'happy': np.float32(0.006064305), 'sad': np.float32(40.583958), 'surprise': np.float32(0.0009290331), 'neutral': np.float32(38.46417)}"
18:18:44,neutral,"{'angry': np.float32(18.10229), 'disgust': np.float32(0.00023187544), 'fear': np.float32(15.941605), 'happy': np.float32(0.0015499614), 'sad': np.float32(17.726238), 'surprise': np.float32(0.0016633654), 'neutral': np.float32(48.22642)}"
18:18:44,fear,"{'angry': np.float32(14.02407), 'disgust': np.float32(0.0069224266), 'fear': np.float32(36.440105), 'happy': np.float32(0.006351855), 'sad': np.float32(20.41101), 'surprise': np.float32(0.004632682), 'neutral': np.float32(29.106913)}"
18:18:44,fear,"{'angry': np.float32(14.02407), 'disgust': np.float32(0.0069224266), 'fear': np.float32(36.440105), 'happy': np.float32(0.006351855), 'sad': np.float32(20.41101), 'surprise': np.float32(0.004632682), 'neutral': np.float32(29.106913)}"
18:18:44,neutral,"{'angry': np.float32(11.455868), 'disgust': np.float32(0.001746734), 'fear': np.float32(5.858769), 'happy': np.float32(0.012578668), 'sad': np.float32(21.329569), 'surprise': np.float32(0.0072838985), 'neutral': np.float32(61.334187)}"
18:18:44,neutral,"{'angry': np.float32(11.455868), 'disgust': np.float32(0.001746734), 'fear': np.float32(5.858769), 'happy': np.float32(0.012578668), 'sad': np.float32(21.329569), 'surprise': np.float32(0.0072838985), 'neutral': np.float32(61.334187)}"
18:18:44,angry,"{'angry': np.float32(43.152615), 'disgust': np.float32(0.0026725263), 'fear': np.float32(4.185616), 'happy': np.float32(0.0072931545), 'sad': np.float32(19.620243), 'surprise': np.float32(0.009133525), 'neutral': np.float32(33.02243)}"
18:18:44,angry,"{'angry': np.float32(68.86274), 'disgust': np.float32(0.015012426), 'fear': np.float32(9.430912), 'happy': np.float32(0.02686086), 'sad': np.float32(14.19774), 'surprise': np.float32(0.017102877), 'neutral': np.float32(7.449636)}"
18:18:44,angry,"{'angry': np.float32(68.86274), 'disgust': np.float32(0.015012426), 'fear': np.float32(9.430912), 'happy': np.float32(0.02686086), 'sad': np.float32(14.19774), 'surprise': np.float32(0.017102877), 'neutral': np.float32(7.449636)}"
18:18:44,angry,"{'angry': np.float32(36.57924), 'disgust': np.float32(0.007510038), 'fear': np.float32(35.03423), 'happy': np.float32(0.0073099355), 'sad': np.float32(25.31471), 'surprise': np.float32(0.013908647), 'neutral': np.float32(3.0431056)}"
18:18:45,angry,"{'angry': np.float32(37.29602), 'disgust': np.float32(0.19769582), 'fear': np.float32(30.58552), 'happy': np.float32(0.032704562), 'sad': np.float32(29.254698), 'surprise': np.float32(0.039786343), 'neutral': np.float32(2.5935767)}"
18:18:45,angry,"{'angry': np.float32(37.29602), 'disgust': np.float32(0.19769582), 'fear': np.float32(30.58552), 'happy': np.float32(0.032704562), 'sad': np.float32(29.254698), 'surprise': np.float32(0.039786343), 'neutral': np.float32(2.5935767)}"
18:18:45,neutral,"{'angry': np.float32(0.6920117), 'disgust': np.float32(8.480971e-13), 'fear': np.float32(0.0012412607), 'happy': np.float32(7.923957e-06), 'sad': np.float32(0.47019404), 'surprise': np.float32(9.0039764e-05), 'neutral': np.float32(98.83646)}"
